year;month;currency
2014;1;6.1598
2014;2;6.1285
2014;3;6.0022
2014;4;5.9792
2014;5;5.9386
2014;6;6.036
2014;7;6.1966
2014;8;6.2037
2014;9;6.3391
2014;10;6.5427
2014;11;6.8082
2014;12;7.2653
2015;1;7.6891
2015;2;7.5895
2015;3;7.9845
2015;4;7.8979
2015;5;7.5538
2015;6;7.8036
2015;7;8.1198
2015;8;8.2495
2015;9;8.2802
2015;10;8.2706
2015;11;8.6354
2015;12;8.6945
2016;1;8.8443
2016;2;8.6081
2016;3;8.4937
2016;4;8.2298
2016;5;8.2376
2016;6;8.3141
2016;7;8.4716
2016;8;8.3129
2016;9;8.2125
2016;10;8.164
2016;11;8.4067
2016;12;8.5577
2017;1;8.4811
2017;2;8.3283
2017;3;8.4987
2017;4;8.5867
2017;5;8.5231
2017;6;8.462
2017;7;8.1681
2017;8;7.8936
2017;9;7.8307
2017;10;7.9936
2017;11;8.1863
2017;12;8.3282
2018;1;7.9221
2018;2;7.8280
2018;3;7.7656
2018;4;7.8384
2018;5;8.1016
2018;6;8.1202
2018;7;8.1299
2018;8;8.3341
2018;9;8.2572
2018;10;8.2490 
